Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,Temp_diff,Power,Torque_per_wear,Type_L,Type_M
298.1,308.6,1551,42.8,0,0,10.5,6951.590560157351,42.8,0,1
298.2,308.7,1408,46.3,3,0,10.5,6826.722724152667,11.575,1,0
298.1,308.5,1498,49.4,5,0,10.399999999999977,7749.387542560967,8.233333333333333,1,0
298.2,308.6,1433,39.5,7,0,10.400000000000034,5927.504658915661,4.9375,1,0
298.2,308.7,1408,40.0,9,0,10.5,5897.816608339237,4.0,1,0
298.1,308.6,1425,41.9,11,0,10.5,6252.554778807084,3.4916666666666667,0,1
298.1,308.6,1558,42.4,14,0,10.5,6917.703247400629,2.8266666666666667,1,0
298.1,308.6,1527,40.2,16,0,10.5,6428.264055922363,2.364705882352941,1,0
298.3,308.7,1667,28.6,18,0,10.399999999999977,4992.639989035923,1.5052631578947369,0,1
298.5,309.0,1741,28.0,21,0,10.5,5104.878622573175,1.2727272727272727,0,1
298.4,308.9,1782,23.9,24,0,10.5,4459.993426595285,0.956,0,0
298.6,309.1,1423,44.3,29,0,10.5,6601.41817101272,1.4766666666666666,0,0
298.6,309.1,1339,51.1,34,0,10.5,7165.22933257697,1.46,0,1
298.6,309.2,1742,30.0,37,0,10.599999999999966,5472.6544025534195,0.7894736842105263,0,1
298.6,309.2,2035,19.6,40,0,10.599999999999966,4176.85215270275,0.4780487804878049,1,0
298.6,309.2,1542,48.4,42,0,10.599999999999966,7815.528539894543,1.1255813953488372,1,0
298.6,309.2,1311,46.6,44,0,10.599999999999966,6397.602111623327,1.0355555555555556,0,1
298.7,309.2,1410,45.6,47,0,10.5,6733.0613751736455,0.9500000000000001,0,1
298.8,309.2,1306,54.5,50,0,10.399999999999977,7453.6380101520235,1.0686274509803921,0,0
298.9,309.3,1632,32.5,55,0,10.400000000000034,5554.3358115467545,0.5803571428571429,0,1
298.9,309.3,1375,42.7,58,0,10.400000000000034,6148.3586224630235,0.7237288135593221,0,0
298.8,309.3,1450,44.8,63,0,10.5,6802.595292573099,0.7,1,0
298.9,309.3,1581,30.7,65,0,10.400000000000034,5082.7513383163905,0.46515151515151515,0,1
299.0,309.4,1758,25.7,68,0,10.399999999999977,4731.3013681593,0.372463768115942,1,0
299.0,309.4,1561,37.3,70,0,10.399999999999977,6097.339157768725,0.5253521126760563,0,1
299.0,309.5,1861,23.3,73,0,10.5,4540.784717670103,0.31486486486486487,1,0
299.1,309.5,1512,39.0,75,0,10.399999999999977,6175.114519896098,0.5131578947368421,1,0
299.1,309.4,1811,24.6,77,0,10.299999999999955,4665.327922433915,0.31538461538461543,0,0
299.1,309.4,1439,44.2,82,0,10.299999999999955,6660.574360679816,0.5325301204819277,1,0
299.0,309.4,1693,30.1,84,0,10.399999999999977,5336.445417069278,0.35411764705882354,1,0
299.1,309.5,1339,48.2,86,0,10.399999999999977,6758.592051471818,0.5540229885057472,0,1
299.0,309.4,1798,25.5,89,0,10.399999999999977,4801.296052481282,0.2833333333333333,1,0
299.0,309.4,1419,48.3,91,0,10.399999999999977,7177.251160464705,0.525,1,0
298.9,309.3,1665,32.5,93,0,10.400000000000034,5666.647748912589,0.34574468085106386,1,0
298.8,309.1,1559,34.7,95,0,10.300000000000011,5665.056008634771,0.3614583333333334,0,1
298.8,309.2,1452,48.6,98,0,10.399999999999977,7389.7799034800555,0.4909090909090909,0,1
298.9,309.2,1581,36.7,101,0,10.300000000000011,6076.122935381484,0.3598039215686275,0,1
298.8,309.1,1439,39.2,104,0,10.300000000000011,5907.115722593864,0.37333333333333335,1,0
298.9,309.2,1379,50.7,106,0,10.300000000000011,7321.51309511755,0.4738317757009346,0,0
298.8,309.1,1350,52.5,111,0,10.300000000000011,7422.0126441058865,0.46875,1,0
298.8,309.1,1362,45.4,113,0,10.300000000000011,6475.325113873137,0.3982456140350877,1,0
298.8,309.1,1368,50.8,115,0,10.300000000000011,7277.436550187683,0.4379310344827586,1,0
298.8,309.1,1368,49.1,117,0,10.300000000000011,7033.900287681403,0.4161016949152542,0,1
298.8,309.2,1372,48.5,120,0,10.399999999999977,6968.261945172401,0.40082644628099173,0,0
298.8,309.1,1472,47.5,125,0,10.300000000000011,7322.00527796661,0.376984126984127,0,1
298.8,309.1,1489,49.1,128,0,10.300000000000011,7656.050824822813,0.3806201550387597,1,0
298.7,309.0,1843,25.8,130,0,10.300000000000011,4979.36152408675,0.1969465648854962,0,1
298.8,309.1,1418,46.3,133,0,10.300000000000011,6875.207970773071,0.3455223880597015,1,0
298.8,309.2,1425,53.9,135,0,10.399999999999977,8043.2625913532665,0.3963235294117647,0,0
298.9,309.2,1412,44.1,140,0,10.300000000000011,6520.815375497119,0.3127659574468085,0,1
298.9,309.1,2861,4.6,143,1,10.200000000000045,1378.1748092277942,0.03194444444444444,1,0
298.9,309.1,1383,54.9,145,0,10.200000000000045,7951.025431043872,0.37602739726027395,1,0
298.8,309.0,1497,43.8,147,0,10.199999999999989,6866.327735538923,0.2959459459459459,0,0
298.7,309.0,1565,35.1,152,0,10.300000000000011,5752.41322835559,0.22941176470588237,1,0
298.7,309.0,1691,30.1,154,0,10.300000000000011,5330.141287811076,0.1941935483870968,1,0
298.8,309.1,1512,40.7,156,0,10.300000000000011,6444.286178455672,0.2592356687898089,1,0
298.8,309.1,1477,42.4,158,0,10.300000000000011,6558.053720417668,0.26666666666666666,1,0
298.8,309.1,1513,40.3,160,0,10.300000000000011,6385.171876690622,0.2503105590062112,1,0
298.8,309.0,1661,29.5,162,0,10.199999999999989,5131.215640985769,0.18098159509202455,0,1
298.8,309.1,1378,54.4,165,0,10.300000000000011,7850.127946986078,0.327710843373494,1,0
298.8,309.1,1393,52.6,167,0,10.300000000000011,7673.004953176688,0.3130952380952381,1,0
298.8,309.0,1592,38.2,169,0,10.199999999999989,6368.469075749038,0.2247058823529412,0,1
298.8,309.0,1829,22.9,172,0,10.199999999999989,4386.092695407342,0.13236994219653178,1,0
298.9,309.0,1812,25.9,174,0,10.100000000000023,4914.581883569729,0.148,0,1
